Bot Name,Bot Nickname,Bot Difficulty,Bot Level,Assignment Status,Quest Name,Objective Name,Step Number,Start Time,End Time
Bot56,"Choccy",easy,3,Failed,"Luxurious Life","Zone Sandbox_3_Vino_exploration","1","21:35:25","21:35:54",
Bot57,"Terkoiz",hard,10,Failed,"First in Line","Zone Sandbox_1_MedicalArea_exploration","1","21:35:26","21:35:34",
Bot57,"Terkoiz",hard,10,Failed,"Shooting Cans","Zone Sandbox_2_Kord_exploration","1","21:35:39","21:36:28",
Bot59,"Hubert",easy,22,Completed,"Shooting Cans","Zone Sandbox_2_AGS_exploration","1","21:35:28","21:38:00",
Bot59,"Hubert",easy,22,Active,"Shooting Cans","Zone Sandbox_2_Kord_exploration","1","21:38:05","N/A",
Bot60,"DeadLeaves",easy,8,Pending,"Shooting Cans","Zone Sandbox_2_AGS_exploration","1","21:35:29","N/A",
Bot61,"Solarint",hard,16,Failed,"Saving the Mole","Zone Sandbox_5_Laborant_exploration","1","21:35:30","21:38:03",
Bot62,"Awafrican",hard,5,Failed,"TerraGroup Office Upstairs Camping","TerraGroup Office Upstairs Camping: Objective #2","1","21:35:31","21:38:14",
Bot75,"Кайл Пятно (TGDelta2455)",normal,1,Failed,"Tarbank Upstairs","Tarbank Upstairs: Objective #4","1","21:44:04","21:44:22",
